"Date","Price","Open","High","Low","Vol.","Change %"
"09/18/2022","696.00","734.00","734.00","682.50","965.90K","-4.85%"
"09/11/2022","731.50","722.00","749.50","717.00","3.12M","2.02%"
"09/04/2022","717.00","739.00","739.00","705.00","717.87K","-2.98%"
"08/28/2022","739.00","701.00","739.00","701.00","1.13M","2.64%"
"08/21/2022","720.00","768.00","768.00","708.00","1.21M","-6.49%"
"08/14/2022","770.00","733.00","776.00","730.00","1.43M","5.05%"
"08/07/2022","733.00","697.00","740.00","680.50","1.84M","5.16%"
"07/31/2022","697.00","621.00","703.00","613.50","3.47M","12.42%"
"07/24/2022","620.00","609.00","622.00","594.00","985.38K","1.97%"
"07/17/2022","608.00","598.00","627.00","585.50","1.29M","5.65%"
"07/10/2022","575.50","649.50","649.50","575.50","1.56M","-10.50%"
"07/03/2022","643.00","626.00","666.00","610.00","1.46M","2.88%"
"06/26/2022","625.00","630.50","644.50","600.00","1.25M","0.00%"
"06/19/2022","625.00","640.00","649.50","601.00","1.07M","-2.34%"
"06/12/2022","640.00","650.00","658.50","625.00","1.30M","-2.29%"
"06/05/2022","655.00","697.00","700.00","655.00","1.67M","-5.76%"
"05/29/2022","695.00","681.00","709.00","672.00","4.58M","2.28%"
"05/22/2022","679.50","675.17","682.00","653.86","1.27M","3.08%"
"05/15/2022","659.18","649.01","681.95","632.54","2.15M","4.53%"
"05/08/2022","630.61","697.45","730.87","630.61","2.00M","-10.82%"
"05/01/2022","707.13","716.82","734.26","697.45","909.81K","-1.02%"
"04/24/2022","714.40","732.32","754.60","707.13","1.24M","-2.45%"
"04/17/2022","732.32","755.57","771.55","731.84","1.13M","-1.56%"
"04/10/2022","743.94","754.60","767.68","742.01","485.74K","-1.29%"
"04/03/2022","753.63","789.47","801.58","745.88","1.01M","-4.89%"
"03/27/2022","792.38","791.89","799.16","757.51","1.16M","0.06%"
"03/20/2022","791.89","773.00","793.35","738.13","977.20K","3.74%"
"03/13/2022","763.32","775.91","804.00","711.98","2.83M","-1.56%"
"03/06/2022","775.42","804.00","811.75","775.42","1.28M","-5.60%"
"02/27/2022","821.44","818.53","834.03","804.48","1.46M","-0.12%"
"02/20/2022","822.41","833.55","840.81","821.44","737.96K","-1.28%"
"02/13/2022","833.06","829.19","842.26","822.41","803.57K","1.78%"
"02/06/2022","818.53","842.75","877.14","818.53","1.68M","-3.10%"
"01/30/2022","844.68","830.16","886.34","830.16","1.03M","2.35%"
"01/23/2022","825.31","831.12","850.50","818.53","978.90K","-1.84%"
"01/16/2022","840.81","830.16","840.81","816.59","609.93K","1.40%"
"01/09/2022","829.19","803.03","854.37","797.22","1.00M","3.32%"
"01/02/2022","802.55","804.97","828.22","795.28","1.04M","-0.30%"
"12/26/2021","804.97","837.91","855.34","804.97","543.77K","-4.59%"
"12/19/2021","843.72","839.84","866.97","826.28","1.10M","-1.19%"
"12/12/2021","853.89","841.78","853.89","814.66","1.60M","1.44%"
"12/05/2021","841.78","811.75","848.56","800.13","1.13M","5.46%"
"11/28/2021","798.19","828.22","833.06","780.75","2.32M","-5.72%"
"11/21/2021","846.62","850.50","871.81","838.87","1.43M","-0.68%"
"11/14/2021","852.43","852.92","879.56","844.68","1.18M","0.00%"
"11/07/2021","852.43","863.09","878.59","845.17","1.48M","-1.12%"
"10/31/2021","862.12","833.06","869.87","821.44","1.32M","3.13%"
"10/24/2021","835.97","841.78","852.43","819.50","1.44M","-0.69%"
"10/17/2021","841.78","833.55","852.43","815.63","1.45M","1.16%"
"10/10/2021","832.09","779.30","846.62","779.30","1.86M","7.24%"
"10/03/2021","775.91","791.41","802.06","775.91","1.56M","-2.02%"
"09/26/2021","791.89","791.89","799.64","756.54","1.75M","0.06%"
"09/19/2021","791.41","786.08","795.77","752.66","1.29M","0.68%"
"09/12/2021","786.08","785.60","804.00","775.91","1.56M","-0.31%"
"09/05/2021","788.50","765.74","793.35","765.74","1.10M","3.04%"
"08/29/2021","765.25","762.35","777.85","729.90","3.46M","-0.38%"
"08/22/2021","768.16","696.48","771.07","687.76","2.63M","10.45%"
"08/15/2021","695.51","697.45","716.34","692.60","1.07M","1.13%"
"08/08/2021","687.76","705.20","730.38","687.76","1.14M","-2.34%"
"08/01/2021","704.23","705.20","745.88","690.67","865.50K","-0.41%"
"07/25/2021","707.13","711.98","720.70","684.85","1.68M","-0.34%"
