"Date","Price","Open","High","Low","Vol.","Change %"
"04/16/2023","6,520.44","6,483.24","6,520.44","6,425.14","248.05K","0.59%"
"04/09/2023","6,481.91","6,502.46","6,506.59","6,394.10","439.98K","-0.10%"
"04/02/2023","6,488.51","6,524.31","6,538.97","6,463.98","243.36K","-0.17%"
"03/26/2023","6,499.68","6,598.73","6,644.75","6,499.68","501.25K","-1.55%"
"03/19/2023","6,602.17","6,452.03","6,602.84","6,389.48","431.59K","2.05%"
"03/12/2023","6,469.72","6,529.57","6,599.96","6,330.53","612.01K","-1.82%"
"03/05/2023","6,589.88","6,673.18","6,739.50","6,518.43","654.10K","-0.98%"
"02/26/2023","6,655.37","6,684.45","6,694.36","6,537.52","1.45M","-0.46%"
"02/19/2023","6,685.90","6,793.86","6,800.96","6,666.41","530.10K","-1.37%"
"02/12/2023","6,779.02","6,865.54","6,902.87","6,745.54","750.59K","-1.42%"
"02/05/2023","6,876.79","6,997.46","6,997.46","6,840.12","695.07K","-2.14%"
"01/29/2023","7,027.38","7,048.76","7,053.72","6,740.19","1.93M","-0.35%"
"01/22/2023","7,052.16","7,051.46","7,137.62","7,003.42","730.27K","-0.06%"
"01/15/2023","7,056.62","6,966.00","7,132.10","6,952.79","940.88K","1.51%"
"01/08/2023","6,951.54","6,692.30","6,959.63","6,685.07","952.34K","4.25%"
"01/01/2023","6,667.97","6,555.40","6,767.05","6,550.17","598.21K","1.55%"
"12/25/2022","6,566.39","6,549.09","6,591.28","6,519.90","325.01K","0.39%"
"12/18/2022","6,541.03","6,474.00","6,580.21","6,360.97","731.08K","0.69%"
"12/11/2022","6,496.50","6,602.58","6,642.40","6,478.28","705.22K","-1.27%"
"12/04/2022","6,580.12","6,503.57","6,674.38","6,442.13","501.06K","1.39%"
"11/27/2022","6,489.65","6,589.83","6,814.14","6,489.65","1.80M","-1.78%"
"11/20/2022","6,606.94","6,451.44","6,606.94","6,364.30","545.06K","2.63%"
"11/13/2022","6,437.38","6,296.22","6,451.61","6,289.05","690.19K","2.40%"
"11/06/2022","6,286.77","6,184.79","6,349.26","6,158.26","521.50K","1.64%"
"10/30/2022","6,185.53","6,258.91","6,258.91","6,083.50","284.92K","0.52%"
"10/23/2022","6,153.43","6,021.54","6,230.58","6,018.98","401.11K","2.84%"
"10/16/2022","5,983.56","5,901.55","6,181.75","5,891.78","619.27K","1.33%"
"10/09/2022","5,904.75","5,898.83","5,967.69","5,832.58","423.48K","-0.46%"
"10/02/2022","5,932.19","5,734.34","6,033.43","5,699.30","454.56K","3.33%"
"09/25/2022","5,741.07","6,193.04","6,193.04","5,741.07","658.85K","-8.28%"
"09/18/2022","6,259.54","6,544.64","6,550.02","6,227.58","620.72K","-4.42%"
"09/11/2022","6,548.77","6,625.40","6,715.75","6,539.25","834.55K","-0.87%"
"09/04/2022","6,606.00","6,693.84","6,721.41","6,548.08","503.57K","-1.29%"
"08/28/2022","6,692.65","6,616.43","6,692.65","6,569.17","616.75K","-0.89%"
"08/21/2022","6,752.50","6,848.95","6,848.95","6,591.83","559.29K","-1.62%"
"08/14/2022","6,863.86","6,699.49","6,883.60","6,691.17","757.25K","2.45%"
"08/07/2022","6,699.66","6,425.47","6,730.53","6,370.83","741.53K","4.59%"
"07/31/2022","6,405.50","6,309.07","6,519.80","6,227.33","760.23K","1.42%"
"07/24/2022","6,315.93","6,239.35","6,379.26","6,163.26","419.71K","0.84%"
"07/17/2022","6,263.39","6,182.27","6,351.77","6,162.27","500.25K","1.10%"
"07/10/2022","6,195.26","6,381.11","6,396.00","6,127.26","512.68K","-2.62%"
"07/03/2022","6,361.82","6,195.90","6,497.97","6,160.88","640.11K","3.19%"
"06/26/2022","6,165.35","6,241.94","6,374.91","6,140.22","732.94K","-0.84%"
"06/19/2022","6,217.56","6,341.98","6,370.74","6,054.79","628.83K","-1.80%"
"06/12/2022","6,331.56","6,503.06","6,503.53","6,273.73","793.93K","-3.04%"
"06/05/2022","6,530.04","6,747.60","6,797.55","6,530.04","561.57K","-3.14%"
"05/29/2022","6,741.40","6,741.95","6,839.27","6,653.41","1.48M","0.23%"
"05/22/2022","6,726.14","6,757.59","6,757.59","6,574.98","703.36K","-0.30%"
"05/15/2022","6,746.33","6,458.57","6,763.74","6,458.57","1.09M","5.76%"
"05/08/2022","6,379.17","6,632.35","6,720.93","6,379.17","834.55K","-5.63%"
"05/01/2022","6,759.90","6,742.83","6,881.59","6,630.46","388.59K","0.43%"
"04/24/2022","6,731.25","6,971.88","7,020.83","6,731.25","534.79K","-3.82%"
"04/17/2022","6,998.59","7,010.92","7,156.85","6,959.95","425.40K","0.20%"
"04/10/2022","6,984.90","7,017.95","7,026.92","6,895.36","239.60K","-0.47%"
"04/03/2022","7,018.02","7,124.25","7,163.21","6,926.03","468.39K","-1.89%"
"03/27/2022","7,152.88","7,120.74","7,203.47","7,062.72","642.33K","0.39%"
"03/20/2022","7,124.84","7,024.79","7,124.84","6,900.49","567.88K","1.67%"
"03/13/2022","7,007.63","7,076.79","7,156.77","6,638.40","1.01M","-1.47%"
"03/06/2022","7,112.19","7,304.76","7,304.76","6,967.54","795.43K","-3.13%"
"02/27/2022","7,342.01","7,175.82","7,404.61","7,175.82","654.23K","1.80%"
"02/20/2022","7,212.23","7,330.44","7,440.91","7,179.63","636.26K","-2.78%"
"02/13/2022","7,418.79","7,276.63","7,464.19","7,276.63","967.44K","2.04%"
"02/06/2022","7,270.36","7,469.29","7,552.20","7,270.36","1.02M","-2.49%"
"01/30/2022","7,456.35","7,279.05","7,517.50","7,279.05","472.53K","2.82%"
"01/23/2022","7,251.97","7,256.40","7,315.31","7,210.21","479.95K","-0.57%"
"01/16/2022","7,293.52","7,266.41","7,343.96","7,204.27","504.19K","0.44%"
"01/09/2022","7,261.34","6,990.07","7,317.09","6,966.85","576.31K","3.57%"
"01/02/2022","7,011.11","7,101.64","7,131.00","6,978.08","520.79K","-1.57%"
"12/26/2021","7,122.63","7,184.88","7,334.56","7,119.44","413.44K","-0.82%"
"12/19/2021","7,181.86","7,236.12","7,257.72","7,100.07","563.15K","-1.59%"
"12/12/2021","7,297.66","7,192.80","7,297.66","7,096.15","731.91K","1.47%"
"12/05/2021","7,192.17","7,075.76","7,234.92","7,075.76","580.10K","1.94%"
"11/28/2021","7,055.19","7,151.66","7,202.72","6,928.30","1.37M","-3.07%"
"11/21/2021","7,278.44","7,268.74","7,419.10","7,231.90","784.64K","-0.03%"
"11/14/2021","7,280.57","7,378.73","7,381.46","7,209.67","647.64K","-1.39%"
"11/07/2021","7,382.84","7,374.42","7,475.75","7,315.22","797.23K","0.57%"
"10/31/2021","7,340.77","7,159.66","7,354.37","7,043.68","427.52K","4.06%"
"10/24/2021","7,054.70","7,277.82","7,295.35","7,043.68","838.99K","-3.22%"
"10/17/2021","7,289.61","7,193.57","7,326.10","7,158.24","1.06M","1.06%"
"10/10/2021","7,213.46","6,936.46","7,228.59","6,936.46","1.07M","4.44%"
"10/03/2021","6,906.86","6,929.71","7,098.30","6,906.86","885.83K","-0.24%"
"09/26/2021","6,923.60","6,965.86","6,987.26","6,771.76","841.21K","-0.40%"
"09/19/2021","6,951.53","6,922.52","6,985.99","6,779.19","715.30K","0.56%"
"09/12/2021","6,912.85","6,960.98","7,033.06","6,861.01","954.84K","-0.83%"
"09/05/2021","6,970.51","6,884.63","6,970.51","6,865.03","657.19K","1.06%"
"08/29/2021","6,897.13","6,786.11","6,897.13","6,651.01","810.98K","1.63%"
"08/22/2021","6,786.62","6,679.52","6,850.18","6,591.67","616.15K","2.31%"
"08/15/2021","6,633.22","6,420.31","6,743.28","6,413.77","644.14K","4.95%"
"08/08/2021","6,320.19","6,555.74","6,666.86","6,320.19","926.22K","-3.36%"
"08/01/2021","6,539.91","6,304.03","6,605.46","6,293.66","567.56K","4.30%"
"07/25/2021","6,270.23","6,509.74","6,523.56","6,270.23","527.77K","-3.84%"
"07/18/2021","6,520.74","6,665.54","6,665.54","6,451.12","470.43K","-2.59%"
"07/11/2021","6,693.83","6,838.18","6,913.87","6,653.53","544.39K","-2.06%"
"07/04/2021","6,834.92","6,993.68","7,064.24","6,745.85","647.85K","-2.39%"
"06/27/2021","7,002.26","6,949.53","7,002.26","6,901.89","664.63K","0.74%"
"06/20/2021","6,950.51","6,840.22","6,950.51","6,783.19","480.87K","1.45%"
"06/13/2021","6,851.38","6,898.20","7,001.21","6,800.70","658.29K","-0.82%"
"06/06/2021","6,907.79","6,801.36","6,925.14","6,758.09","640.87K","1.64%"
"05/30/2021","6,796.34","6,656.88","6,841.69","6,576.64","677.87K","1.83%"
"05/23/2021","6,674.51","6,195.87","6,688.07","6,156.20","2.15M","7.67%"
"05/16/2021","6,199.25","6,226.83","6,283.58","6,172.18","603.70K","-1.12%"
"05/09/2021","6,269.36","6,279.79","6,341.12","6,080.94","702.82K","0.17%"
"05/02/2021","6,258.71","6,392.97","6,419.52","6,233.33","472.24K","-1.76%"
"04/25/2021","6,370.87","6,417.77","6,487.51","6,348.56","622.18K","-0.11%"
"04/18/2021","6,378.07","6,503.77","6,503.77","6,371.43","648.86K","-1.80%"
"04/11/2021","6,494.81","6,562.11","6,566.67","6,431.71","567.05K","-0.77%"
"04/04/2021","6,545.17","6,447.40","6,651.71","6,446.04","383.95K","1.58%"
"03/28/2021","6,443.09","6,469.26","6,653.52","6,432.07","304.11K","-1.55%"
"03/21/2021","6,544.63","6,381.59","6,603.55","6,325.64","474.36K","1.69%"
"03/14/2021","6,436.10","6,694.09","6,694.09","6,436.10","534.31K","-4.35%"
"03/07/2021","6,728.55","6,879.77","6,879.77","6,668.33","432.59K","-2.22%"
"02/28/2021","6,881.37","6,828.70","6,942.76","6,798.81","465.94K","1.27%"
"02/21/2021","6,794.86","6,901.93","6,907.47","6,681.14","474.21K","-1.90%"
"02/14/2021","6,926.41","6,996.58","7,044.06","6,841.48","474.29K","-0.92%"
"02/07/2021","6,991.01","6,997.28","7,159.11","6,965.93","451.71K","-0.40%"
"01/31/2021","7,019.18","6,634.59","7,019.18","6,634.59","468.93K","6.15%"
"01/24/2021","6,612.62","7,026.77","7,071.50","6,612.62","575.16K","-6.15%"
"01/17/2021","7,045.83","7,230.05","7,230.05","7,007.20","450.96K","-2.66%"
"01/10/2021","7,238.46","7,292.99","7,432.40","7,180.88","540.73K","-0.71%"
"01/03/2021","7,289.88","7,149.64","7,289.88","6,928.90","623.68K","2.10%"
"12/27/2020","7,139.71","7,142.95","7,173.27","7,058.66","207.42K","-0.90%"
"12/20/2020","7,204.38","7,244.85","7,251.02","7,075.18","399.68K","-0.94%"
"12/13/2020","7,272.80","7,244.38","7,311.21","7,202.49","779.85K","0.37%"
"12/06/2020","7,246.16","7,173.70","7,304.90","7,102.66","671.98K","1.56%"
"11/29/2020","7,134.56","6,740.30","7,196.96","6,740.30","754.35K","5.05%"
"11/22/2020","6,791.46","7,163.98","7,263.71","6,791.46","1.67M","-5.28%"
"11/15/2020","7,169.79","6,991.39","7,169.79","6,857.89","936.16K","2.87%"
"11/08/2020","6,969.88","6,665.08","7,079.18","6,619.59","1.21M","4.25%"
"11/01/2020","6,685.69","6,282.89","6,709.73","6,250.87","617.89K","5.72%"
"10/25/2020","6,324.00","6,496.19","6,517.26","6,202.90","733.19K","-2.47%"
"10/18/2020","6,484.06","5,913.78","6,484.45","5,913.78","1.05M","9.93%"
"10/11/2020","5,898.47","5,935.40","5,954.47","5,898.47","702.38K","-0.56%"
"10/04/2020","5,931.61","6,005.58","6,010.76","5,825.48","874.09K","-1.13%"
"09/27/2020","5,999.40","5,870.52","5,999.40","5,841.60","508.00K","2.75%"
"09/20/2020","5,838.66","5,913.60","5,925.31","5,829.66","413.38K","-1.19%"
"09/13/2020","5,908.90","5,954.23","6,018.21","5,886.33","556.00K","-0.99%"
"09/06/2020","5,967.96","5,787.70","6,034.03","5,772.01","587.25K","3.16%"
"08/30/2020","5,785.09","5,922.06","5,946.22","5,695.78","504.02K","-1.68%"
"08/23/2020","5,884.18","5,997.55","5,997.55","5,872.26","1.14M","-2.02%"
"08/16/2020","6,005.40","6,081.11","6,167.13","5,962.64","443.41K","-1.18%"
"08/09/2020","6,076.91","5,853.12","6,097.78","5,832.60","702.07K","3.95%"
"08/02/2020","5,846.02","5,816.23","5,906.87","5,691.74","735.55K","-1.39%"
"07/26/2020","5,928.45","5,985.24","5,985.24","5,799.11","430.47K","-1.25%"
"07/19/2020","6,003.26","6,112.58","6,152.06","5,915.83","497.60K","-1.40%"
"07/12/2020","6,088.75","6,187.78","6,187.78","6,010.88","648.83K","-1.75%"
"07/05/2020","6,197.38","6,378.29","6,381.06","6,098.53","809.64K","-2.75%"
"06/28/2020","6,372.66","6,125.57","6,398.79","6,040.43","724.97K","2.92%"
"06/21/2020","6,191.84","6,316.20","6,347.43","6,092.01","1.06M","-1.95%"
