"Date","Price","Open","High","Low","Vol.","Change %"
"05/30/2021","1,000.00","965.00","1,007.00","957.00","1.11M","2.04%"
"05/23/2021","980.00","918.00","1,004.00","901.50","2.03M","7.69%"
"05/16/2021","910.00","938.00","941.00","900.00","1.15M","-5.55%"
"05/09/2021","963.50","921.00","963.50","880.00","872.70K","4.73%"
"05/02/2021","920.00","962.00","968.50","920.00","1.18M","-4.27%"
"04/25/2021","961.00","969.00","990.00","952.50","1.28M","0.95%"
"04/18/2021","952.00","977.00","980.00","951.00","1.11M","-2.66%"
"04/11/2021","978.00","971.00","993.00","957.50","864.55K","1.35%"
"04/04/2021","965.00","956.00","1,009.00","956.00","756.14K","0.52%"
"03/28/2021","960.00","974.00","995.00","955.50","997.98K","-2.04%"
"03/21/2021","980.00","950.00","996.50","940.00","1.19M","2.24%"
"03/14/2021","958.50","1,035.00","1,035.00","958.50","2.59M","-7.30%"
"03/07/2021","1,034.00","1,040.00","1,057.00","1,023.00","1.18M","-0.67%"
"02/28/2021","1,041.00","1,025.00","1,057.00","1,009.00","1.88M","3.17%"
"02/21/2021","1,009.00","1,060.00","1,065.00","1,006.00","1.80M","-5.26%"
"02/14/2021","1,065.00","1,068.00","1,080.00","1,030.00","31.48M","-0.28%"
"02/07/2021","1,068.00","1,020.00","1,095.00","1,013.00","1.56M","2.79%"
"01/31/2021","1,039.00","981.00","1,050.00","976.00","1.44M","5.48%"
"01/24/2021","985.00","1,040.00","1,047.00","985.00","1.43M","-4.83%"
"01/17/2021","1,035.00","1,051.00","1,078.00","1,026.00","1.60M","-1.52%"
"01/10/2021","1,051.00","1,050.00","1,095.00","1,050.00","1.12M","0.10%"
"01/03/2021","1,050.00","1,055.00","1,068.00","1,025.00","737.01K","0.10%"
"12/27/2020","1,049.00","1,065.00","1,068.00","1,042.00","465.31K","-2.60%"
"12/20/2020","1,077.00","1,061.00","1,081.00","1,042.00","409.22K","1.13%"
"12/13/2020","1,065.00","1,068.00","1,095.00","1,031.00","1.70M","-0.28%"
"12/06/2020","1,068.00","1,044.00","1,085.00","1,020.00","1.17M","4.09%"
"11/29/2020","1,026.00","970.00","1,047.00","965.00","1.48M","5.77%"
"11/22/2020","970.00","1,035.00","1,070.00","970.00","2.28M","-7.62%"
"11/15/2020","1,050.00","1,038.00","1,050.00","995.50","2.04M","1.94%"
"11/08/2020","1,030.00","1,002.00","1,100.00","982.00","3.17M","1.98%"
"11/01/2020","1,010.00","969.00","1,047.00","931.50","1.97M","6.32%"
